lḡettā    f   irr(sing: [leḡnā: leḡnaṯ: lḡettā]), irr(pl: [leḡnin: leḡnay: leḡnē])
lumā    m   masc-sing, masc-pl, add(emph-pl: ’s)
leksiqon    m   replace(pl: on: ’), add(pl: ’)
lēlyā   m   irr(abs-sing: laylay), irr(abs-sing: laylā), irr(abs-sing: lēlē), irr(abs-pl: laylin), irr(abs-pl: laylawwān), irr(emph-pl: laylē), irr(emph-pl: laylawwāṯā)
laftā   m   masc-sing, masc-pl
me’ḵultā    f   fem-sing, fem-pl, irr(pl: [me’ḵlān: me’ḵlāṯ: me’ḵlāṯā]), irr(pl: [meḵlān: meḵlāṯ: meḵlāṯā])
me’kannē    m/f   insert(pl: w: fem-pl), add(pl: as), add(pl: os)
me’sārtā    f   fem-sing, insert(pl: y: fem-pl)
mḡallṯā   f   fem-sing, masc-pl, fem-pl, irr(pl: [mḡa’llin: mḡa’llay: mḡa’llē])
madḵā   m   masc-sing, insert(pl: on: masc-pl)
mawtā   m   masc-sing, masc-pl
šmā   m   masc-sing, insert(pl: ah: masc-pl), insert(pl: ah: fem-pl)
